ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
1000215,Receipt of salary into account,Repair,1.0,0.53,male,0,0,specialized secondary,support staff,>250,1.0,148.0,51.0,Other,LLC,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.0,1.0,134.0,5.0,2.0,0.0,28.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000235,Bank form (without employer stamp),Buying a car,1.0,0.58,female,0,0,Higher/Second Higher/Academic Degree,middle manager,>250,0.0,34.0,51.0,Civil service,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000255,Free form with employer stamp,Buying a car,1.0,0.35,male,0,0,higher,worker,>=200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000275,Receipt of salary into account,Repair,0.0,0.46,male,0,0,higher,middle manager,>250,0.0,143.0,46.0,Trade,OJSC,married,2.0,1.0,0.0,0.0,0.0,0.0397350993,1.0,0.0,0.0,0.0,0.5,2.0,2.0,145.0,4.0,1.0,1.0,34.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000295,Bank form (without employer stamp),Other,1.0,0.22,female,1,0,higher,specialist,>250,0.0,84.0,33.0,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000315,Receipt of salary into account,Repair,1.0,0.49,male,0,0,higher,support staff,>250,0.0,80.0,39.0,Trade,LLC,"single, not married",2.0,0.0,0.0,0.0,0.0,0.142384106,1.0,2.0,0.0,0.0,0.4,6.0,9.0,259.0,15.0,5.0,6.0,5.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000335,Receipt of salary into account,Repair,0.0,0.47,male,0,0,higher,Sales Representative,>250,1.0,44.0,26.0,Other,CJSC,married,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.0,0.0,0.0,0.4,2.0,3.0,47.0,5.0,1.0,0.0,5.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000355,Bank form (without employer stamp),Repair,1.0,0.15,male,2,0,higher,senior manager,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000375,Receipt of salary into account,Real estate purchase/construction,0.0,0.57,female,0,0,specialized secondary,specialist,>250,0.0,92.0,36.0,Other,LLC,married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,43.0,2.0,0.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000395,Receipt of salary into account,Other,1.0,0.12,female,0,0,higher,specialist,>250,0.0,18.0,25.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000415,Bank form (without employer stamp),Vacation,0.0,0.39,male,1,0,higher,senior manager,< 50,0.0,36.0,34.0,Information Technology,LLC,remarriage,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,4.0,106.0,5.0,0.0,0.0,55.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000435,Receipt of salary into account,Buying a car,1.0,0.59,female,0,0,average,Sales Representative,>250,0.0,32.0,28.0,Other,LLC,"single, not married",0.0,0.0,0.0,0.0,0.0,0.0275862069,1.0,0.0,0.0,0.0,0.4285714286,3.0,4.0,141.0,7.0,2.0,1.0,12.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000455,Bank form (without employer stamp),Repair,0.0,0.27,male,0,0,average,specialist,< 50,0.0,23.0,34.0,Other,LLC,"single, not married",1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,27.0,1.0,1.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000475,Free form with employer stamp,Repair,0.0,0.29,male,0,0,higher,specialist,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000495,2NDFL,Repair,0.0,0.57,female,0,0,higher,middle manager,>250,1.0,384.0,52.0,Other,OJSC,"single, not married",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.625,5.0,3.0,71.0,8.0,3.0,0.0,2.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000515,2NDFL,Repair,1.0,0.51,male,0,0,average,support staff,>250,0.0,155.0,46.0,Information Technology,LLC,"single, not married",2.0,1.0,0.0,0.0,0.0,0.0104166667,0.0,1.0,1.0,0.0,0.4285714286,3.0,4.0,95.0,7.0,2.0,2.0,2.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000535,Receipt of salary into account,Buying a car,0.0,0.45,female,0,0,specialized secondary,worker,>250,0.0,9.0,56.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000555,Free form with employer stamp,Repair,1.0,0.35,male,1,0,higher,senior manager,< 50,0.0,47.0,32.0,Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000575,Bank form (without employer stamp),Repair,1.0,0.43,male,2,0,higher,specialist,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000595,2NDFL,Buying a car,0.0,0.38,female,0,0,Higher/Second Higher/Academic Degree,specialist,>250,0.0,46.0,33.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000615,Bank form (without employer stamp),Real estate purchase/construction,1.0,0.38,male,0,0,higher,senior manager,< 50,0.0,92.0,50.0,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000635,Free form with employer stamp,Repair,1.0,0.31,male,1,0,higher,senior manager,>250,0.0,22.0,44.0,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000655,2NDFL,Repair,0.0,,female,0,0,higher,other,,1.0,65.0,26.0,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000675,Free form with employer stamp,Education,0.0,0.5,female,1,0,second higher education,specialist,< 50,0.0,28.0,40.0,The science,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000695,Receipt of salary into account,Buying a car,0.0,0.09,female,1,0,higher,specialist,>250,0.0,195.0,37.0,Other,LLC,married,0.0,0.0,0.0,0.0,0.0,0.0224719101,0.0,0.0,0.0,0.0,0.0,0.0,4.0,87.0,4.0,0.0,0.0,50.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000715,Bank form (without employer stamp),Repair,0.0,0.33,female,2,0,Higher/Second Higher/Academic Degree,senior manager,< 50,0.0,59.0,40.0,Trade,Individual entrepreneur,married,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5555555556,5.0,4.0,87.0,9.0,2.0,0.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000735,Receipt of salary into account,Repair,1.0,0.29,male,0,0,higher,support staff,>250,0.0,70.0,43.0,Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000755,Receipt of salary into account,Buying a car,1.0,0.48,female,1,0,incomplete higher education,specialist,>250,0.0,16.0,30.0,Trade,LLC,married,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000775,2NDFL,Repair,1.0,0.45,female,0,0,Higher/Second Higher/Academic Degree,specialist,>=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000795,Receipt of salary into account,Education,1.0,0.24,female,0,0,Higher/Second Higher/Academic Degree,support staff,< 50,0.0,10.0,28.0,Other,LLC,"single, not married",3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,1.0,2.0,39.0,3.0,0.0,0.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000815,Receipt of salary into account,Buying a car,0.0,0.47,male,0,0,higher,middle manager,>250,0.0,15.0,29.0,Trade,LLC,"single, not married",3.0,1.0,1.0,1.0,0.0,0.032967033,0.0,0.0,0.0,0.0,0.125,1.0,7.0,88.0,8.0,1.0,0.0,13.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000835,2NDFL,Repair,1.0,0.19,male,1,0,higher,specialist,>250,0.0,23.0,31.0,Other,OJSC,married,5.0,5.0,4.0,4.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,47.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000855,2NDFL,Repair,0.0,0.28,male,0,0,higher,specialist,>250,0.0,11.0,27.0,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000875,Bank form (without employer stamp),Repair,0.0,0.21,male,2,0,higher,middle manager,< 50,0.0,76.0,39.0,Other,Another form,married,1.0,0.0,0.0,0.0,0.0,0.1066666667,1.0,1.0,0.0,0.0,0.5,2.0,2.0,67.0,4.0,1.0,0.0,5.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000895,Bank form (without employer stamp),Buying a car,0.0,0.18,male,0,0,higher,Sales Representative,>250,0.0,22.0,27.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000915,2NDFL,Repair,1.0,0.43,female,1,0,higher,worker,>250,3.0,414.0,53.0,Other,OJSC,married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,3.0,0.0,0.0,42.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000935,Bank form (without employer stamp),Repair,1.0,0.49,male,2,0,incomplete higher education,specialist,< 50,0.0,52.0,41.0,Trade,LLC,married,3.0,2.0,1.0,1.0,0.0,0.0198019802,0.0,0.0,0.0,0.0,0.75,6.0,2.0,198.0,8.0,1.0,1.0,7.0,103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000955,2NDFL,Repair,1.0,0.44,male,1,0,higher,middle manager,>250,0.0,57.0,27.0,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000975,Receipt of salary into account,Repair,0.0,0.38,female,0,0,specialized secondary,worker,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000995,Free form with employer stamp,Real estate purchase/construction,1.0,0.59,male,0,0,higher,middle manager,>250,0.0,80.0,55.0,Other,LLC,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001015,Receipt of salary into account,Repair,1.0,0.59,female,1,0,higher,specialist,>250,0.0,24.0,30.0,Other,LLC,married,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.25,2.0,6.0,66.0,8.0,2.0,0.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001035,2NDFL,Vacation,1.0,0.34,female,0,0,higher,specialist,>250,1.0,34.0,25.0,Trade,LLC,"single, not married",4.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,33.0,2.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001055,Receipt of salary into account,Repair,0.0,0.23,female,0,0,higher,specialist,>250,0.0,58.0,34.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001075,Receipt of salary into account,Repair,1.0,0.49,male,0,0,Higher/Second Higher/Academic Degree,worker,>250,0.0,8.0,30.0,Trade,LLC,"single, not married",0.0,0.0,0.0,0.0,0.0,0.1351351351,1.0,0.0,0.0,0.0,0.0,1.0,8.0,96.0,9.0,1.0,0.0,18.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1001095,2NDFL,Buying a car,1.0,0.44,male,2,0,higher,worker,>=150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001115,2NDFL,Repair,1.0,0.49,male,0,0,higher,specialist,< 50,0.0,6.0,31.0,Information Technology,LLC,"single, not married",1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,9.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001135,2NDFL,Repair,0.0,0.47,male,0,0,higher,specialist,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001155,Receipt of salary into account,Real estate purchase/construction,0.0,0.47,male,1,0,higher,middle manager,>250,1.0,50.0,31.0,Trade,LLC,married,0.0,0.0,0.0,0.0,0.0,0.2072727273,1.0,1.0,0.0,0.0,0.4166666667,5.0,7.0,218.0,12.0,3.0,2.0,4.0,91.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1001175,Receipt of salary into account,Repair,1.0,0.34,female,0,0,specialized secondary,support staff,>250,0.0,6.0,45.0,Trade,CJSC,married,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,0.0,0.0,31.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001195,Free form with employer stamp,Real estate purchase/construction,1.0,0.33,female,2,0,higher,specialist,< 50,0.0,81.0,33.0,Other,LLC,married,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001215,2NDFL,Repair,0.0,0.26,male,0,0,Higher/Second Higher/Academic Degree,middle manager,>250,0.0,9.0,38.0,Agriculture and forestry,LLC,married,2.0,1.0,1.0,1.0,1.0,0.0095238095,0.0,0.0,0.0,0.0,0.5,3.0,3.0,104.0,6.0,1.0,0.0,12.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1001235,Bank form (without employer stamp),Real estate purchase/construction,1.0,0.27,male,1,0,specialized secondary,senior manager,< 50,0.0,66.0,45.0,Other,LLC,married,1.0,1.0,1.0,1.0,0.0,0.4642857143,1.0,0.0,0.0,0.0,0.0,1.0,2.0,30.0,3.0,1.0,0.0,74.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1001255,Receipt of salary into account,Vacation,1.0,0.22,male,2,0,average,worker,>250,1.0,36.0,31.0,Trade,LLC,remarriage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,3.0,35.0,5.0,1.0,0.0,11.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001275,Bank form (without employer stamp),Repair,1.0,0.29,male,1,0,higher,worker,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001295,Receipt of salary into account,Repair,1.0,0.58,female,0,0,*n.a.*,specialist,>250,0.0,22.0,26.0,Trade,LLC,"single, not married",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,1.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001315,,Real estate purchase/construction,0.0,,female,1,0,Higher/Second Higher/Academic Degree,other,,0.0,103.0,42.0,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001335,Receipt of salary into account,Repair,1.0,0.59,male,1,0,higher,specialist,>250,0.0,72.0,33.0,Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001355,Receipt of salary into account,Real estate purchase/construction,1.0,0.49,male,1,0,specialized secondary,middle manager,>250,0.0,19.0,43.0,Trade,LLC,married,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,4.0,40.0,5.0,0.0,0.0,19.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001375,2NDFL,Repair,0.0,0.38,female,0,0,higher,specialist,>250,0.0,97.0,34.0,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001395,Receipt of salary into account,Purchasing household appliances,1.0,0.27,male,0,0,higher,worker,>250,0.0,36.0,29.0,Information Technology,LLC,"single, not married",1.0,0.0,0.0,0.0,0.0,0.4128440367,0.0,0.0,0.0,0.0,0.3333333333,1.0,2.0,64.0,3.0,0.0,0.0,16.0,68.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1001415,Free form with employer stamp,Repair,1.0,0.25,male,0,0,Higher/Second Higher/Academic Degree,Sales Manager,>=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001435,Bank form (without employer stamp),Buying a car,0.0,0.21,male,0,0,higher,specialist,>250,0.0,38.0,29.0,Other,OJSC,"single, not married",0.0,0.0,0.0,0.0,0.0,0.0365853659,0.0,0.0,0.0,0.0,0.5,1.0,1.0,79.0,2.0,0.0,1.0,40.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1001455,2NDFL,Buying a car,0.0,0.42,male,0,0,specialized secondary,worker,>250,0.0,225.0,53.0,Trade,CJSC,married,1.0,1.0,0.0,0.0,0.0,0.0980392157,0.0,0.0,0.0,0.0,0.25,1.0,3.0,46.0,4.0,1.0,3.0,10.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1001475,2NDFL,Repair,1.0,0.45,female,2,0,higher,specialist,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001495,Receipt of salary into account,Buying a car,1.0,0.48,male,2,0,higher,Sales Representative,>250,0.0,42.0,35.0,Other,OJSC,married,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,2.0,2.0,14.0,4.0,1.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001515,Receipt of salary into account,Repair,1.0,0.53,female,0,0,incomplete higher education,support staff,>250,1.0,12.0,26.0,Information Technology,LLC,civil marriage,1.0,1.0,0.0,0.0,0.0,0.3413173653,0.0,1.0,0.0,0.0,0.5,4.0,4.0,110.0,8.0,1.0,0.0,4.0,53.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1001535,Bank form (without employer stamp),Treatment,1.0,0.29,male,1,0,specialized secondary,support staff,>250,0.0,81.0,46.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001555,2NDFL,Real estate purchase/construction,0.0,0.53,female,0,0,higher,specialist,>250,3.0,337.0,50.0,Civil service,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001575,Bank form (without employer stamp),Repair,0.0,0.49,male,0,0,Higher/Second Higher/Academic Degree,senior manager,< 50,0.0,35.0,40.0,Other,LLC,"single, not married",2.0,1.0,0.0,0.0,0.0,0.119266055,0.0,1.0,0.0,0.0,0.5714285714,4.0,3.0,96.0,7.0,0.0,1.0,2.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1001595,Bank form (without employer stamp),Repair,1.0,0.2,male,2,0,Higher/Second Higher/Academic Degree,senior manager,< 50,0.0,145.0,45.0,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001615,Bank form (without employer stamp),Repair,1.0,0.28,female,0,0,Higher/Second Higher/Academic Degree,specialist,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001635,Receipt of salary into account,Repair,1.0,0.34,female,0,0,average,support staff,>250,0.0,17.0,26.0,Trade,LLC,"single, not married",2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001655,2NDFL,Repair,1.0,0.49,male,1,0,average,support staff,>250,0.0,87.0,38.0,Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001675,2NDFL,Repair,0.0,0.59,male,2,0,higher,specialist,>250,0.0,33.0,34.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001695,Receipt of salary into account,Repair,1.0,0.59,female,0,0,higher,specialist,>250,1.0,98.0,27.0,Other,LLC,married,7.0,6.0,6.0,1.0,1.0,0.0769230769,0.0,2.0,2.0,2.0,0.5,3.0,3.0,60.0,6.0,2.0,0.0,0.0,75.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1001715,Bank form (without employer stamp),Repair,1.0,0.32,male,0,0,higher,middle manager,< 50,0.0,151.0,52.0,Trade,LLC,married,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001735,Free form with employer stamp,Repair,1.0,0.56,female,1,0,higher,Sales Representative,>250,0.0,7.0,40.0,Trade,LLC,married,2.0,1.0,0.0,0.0,0.0,0.1081081081,0.0,1.0,1.0,1.0,0.2,2.0,8.0,132.0,10.0,2.0,0.0,1.0,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1001755,2NDFL,Buying a car,0.0,0.47,female,1,0,specialized secondary,support staff,>250,0.0,64.0,38.0,Trade,LLC,married,1.0,0.0,0.0,0.0,0.0,0.0141843972,0.0,0.0,0.0,0.0,0.3333333333,4.0,8.0,139.0,12.0,3.0,0.0,7.0,82.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1001775,Receipt of salary into account,Repair,0.0,0.37,female,0,0,higher,middle manager,>250,1.0,175.0,49.0,Other,CJSC,"single, not married",2.0,2.0,1.0,1.0,0.0,0.0105263158,0.0,0.0,0.0,0.0,0.3333333333,3.0,6.0,188.0,9.0,3.0,2.0,20.0,95.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1001795,2NDFL,Repair,1.0,0.45,female,0,0,higher,middle manager,>=150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001815,2NDFL,Repair,1.0,0.25,female,1,0,specialized secondary,specialist,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001835,Bank form (without employer stamp),Repair,1.0,0.35,male,2,0,Higher/Second Higher/Academic Degree,specialist,>=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001855,2NDFL,Buying a car,0.0,0.19,male,1,0,higher,specialist,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001875,2NDFL,Treatment,1.0,0.13,male,0,0,specialized secondary,worker,>250,3.0,43.0,39.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001895,Bank form (without employer stamp),Other,1.0,0.24,female,0,0,higher,specialist,>250,0.0,151.0,27.0,Other,Another form,"single, not married",,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001915,Bank form (without employer stamp),Repair,1.0,0.53,male,0,0,academic degree,specialist,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001935,Bank form (without employer stamp),Repair,1.0,0.33,male,1,0,academic degree,senior manager,< 50,0.0,69.0,34.0,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001955,2NDFL,Repair,1.0,0.26,female,1,0,second higher education,worker,>250,3.0,17.0,31.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001975,Bank form (without employer stamp),Repair,1.0,0.16,male,2,0,Higher/Second Higher/Academic Degree,senior manager,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001995,Bank form (without employer stamp),Repair,0.0,0.52,male,0,0,specialized secondary,support staff,>250,0.0,54.0,41.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002015,Receipt of salary into account,Other,1.0,0.15,female,0,0,higher,specialist,>=150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002035,Bank form (without employer stamp),Repair,1.0,0.59,female,2,0,Higher/Second Higher/Academic Degree,middle manager,>250,0.0,20.0,36.0,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
